epoch, iteration, cost
0, 0, 0.448619
0, 1, 0.224378
0, 2, 0.074921
0, 3, 0.141795
1, 0, 0.116891
1, 1, 0.019515
1, 2, 0.002863
1, 3, 0.061659
2, 0, 0.055237
2, 1, 0.005553
2, 2, 0.000571
2, 3, 0.040705
3, 0, 0.035954
3, 1, 0.002601
3, 2, 0.000243
3, 3, 0.030289
4, 0, 0.026243
4, 1, 0.001499
4, 2, 0.000161
4, 3, 0.023976
5, 0, 0.020296
5, 1, 0.000980
5, 2, 0.000147
5, 3, 0.019672
6, 0, 0.016187
6, 1, 0.000709
6, 2, 0.000168
6, 3, 0.016469
7, 0, 0.013086
7, 1, 0.000578
7, 2, 0.000224
7, 3, 0.013890
8, 0, 0.010580
8, 1, 0.000559
8, 2, 0.000325
8, 3, 0.011658
9, 0, 0.008458
9, 1, 0.000668
9, 2, 0.000487
9, 3, 0.009627
10, 0, 0.006649
10, 1, 0.000937
10, 2, 0.000715
10, 3, 0.007778
11, 0, 0.005176
11, 1, 0.001346
11, 2, 0.000976
11, 3, 0.006191
12, 0, 0.004069
12, 1, 0.001780
12, 2, 0.001218
12, 3, 0.004941
13, 0, 0.003294
13, 1, 0.002118
13, 2, 0.001399
13, 3, 0.004020
14, 0, 0.002765
14, 1, 0.002318
14, 2, 0.001507
14, 3, 0.003366
15, 0, 0.002400
15, 1, 0.002399
15, 2, 0.001554
15, 3, 0.002905
16, 0, 0.002141
16, 1, 0.002390
16, 2, 0.001616
16, 3, 0.002469
17, 0, 0.001904
17, 1, 0.002309
17, 2, 0.001633
17, 3, 0.002185
18, 0, 0.001782
18, 1, 0.002206
18, 2, 0.001558
18, 3, 0.002036
19, 0, 0.001680
19, 1, 0.002105
19, 2, 0.001487
19, 3, 0.001910
